,Title,Country,Date,Impact,Forecast,Previous,title,country,date,impact,forecast,previous
0,,,,,,,BusinessNZ Services Index,NZD,,Low,,55.4
1,,,,,,,Rightmove HPI m/m,GBP,2022-08-14 19:01:00-04:00,Low,,0.4%
2,,,,,45.0,,Prelim GDP Price Index y/y,JPY,2022-08-14 19:50:00-04:00,Low,-0.8%,-0.4%
3,,,,,,,Prelim GDP q/q,JPY,2022-08-14 19:50:00-04:00,Low,0.7%,-0.2%
4,,,,,,,Fixed Asset Investment ytd/y,CNY,2022-08-14 22:00:00-04:00,Low,6.3%,6.1%
5,,,,,,,Industrial Production y/y,CNY,2022-08-14 22:00:00-04:00,Low,4.5%,3.9%
6,,,,,,,NBS Press Conference,CNY,2022-08-14 22:00:00-04:00,Low,,
7,,,,,,,Retail Sales y/y,CNY,2022-08-14 22:00:00-04:00,Medium,5.0%,3.1%
8,,,,,,,Unemployment Rate,CNY,2022-08-14 22:00:00-04:00,Low,5.5%,5.5%
9,,,,,,,Revised Industrial Production m/m,JPY,2022-08-15 00:30:00-04:00,Low,-7.5%,-7.5%
10,,,,,,,German WPI m/m,EUR,2022-08-15 02:00:00-04:00,Low,0.2%,0.1%
11,,,,,,,PPI m/m,CHF,2022-08-15 02:30:00-04:00,Low,0.4%,0.3%
12,,,,,,,French Bank Holiday,EUR,2022-08-15 03:01:00-04:00,Holiday,,
13,,,,,,,Italian Bank Holiday,EUR,2022-08-15 03:03:00-04:00,Holiday,,
14,,,,,,,Empire State Manufacturing Index,USD,2022-08-15 08:30:00-04:00,Medium,5.1,11.1
15,,,,,,,Manufacturing Sales m/m,CAD,2022-08-15 08:30:00-04:00,Low,,-2.0%
16,,,,,,,Wholesale Sales m/m,CAD,2022-08-15 08:30:00-04:00,Low,,1.6%
17,,,,,,,NAHB Housing Market Index,USD,2022-08-15 10:00:00-04:00,Low,55,55
18,,,,,,,TIC Long-Term Purchases,USD,2022-08-15 16:00:00-04:00,Low,,155.3B
19,,,,,,,Monetary Policy Meeting Minutes,AUD,2022-08-15 21:30:00-04:00,High,,
20,,,,,,,Tertiary Industry Activity m/m,JPY,2022-08-16 00:30:00-04:00,Low,0.5%,0.8%
21,,,,,,,Average Earnings Index 3m/y,GBP,2022-08-16 02:00:00-04:00,Low,4.7%,6.2%
22,,,,,,,Unemployment Rate,GBP,2022-08-16 02:00:00-04:00,Low,3.8%,3.8%
23,,,,,,,Claimant Count Change,GBP,2022-08-16 02:00:00-04:00,Low,-32.0K,-20.0K
24,,,,,,,ZEW Economic Sentiment,EUR,2022-08-16 05:00:00-04:00,Low,-57.0,-51.1
25,,,,,,,German ZEW Economic Sentiment,EUR,2022-08-16 05:00:00-04:00,Low,-59.9,-53.8
26,,,,,,,Trade Balance,EUR,2022-08-16 05:00:00-04:00,Low,-20.0B,-26.0B
27,,,,,,,Housing Starts,CAD,2022-08-16 08:15:00-04:00,Low,265K,274K
28,,,,,,,CPI m/m,CAD,2022-08-16 08:30:00-04:00,High,,0.7%
29,,,,,,,Common CPI y/y,CAD,2022-08-16 08:30:00-04:00,Medium,,4.6%
