Title,Country,Date,Time,Impact,Forecast,Previous
BusinessNZ Services Index,NZD,08-14-2022,10:30pm,Low,,55.4
Rightmove HPI m/m,GBP,08-14-2022,11:01pm,Low,,0.4%
Prelim GDP Price Index y/y,JPY,08-14-2022,11:50pm,Low,-0.8%,-0.4%
Prelim GDP q/q,JPY,08-14-2022,11:50pm,Low,0.7%,-0.2%
Fixed Asset Investment ytd/y,CNY,08-15-2022,2:00am,Low,6.3%,6.1%
Industrial Production y/y,CNY,08-15-2022,2:00am,Low,4.5%,3.9%
NBS Press Conference,CNY,08-15-2022,2:00am,Low,,
Retail Sales y/y,CNY,08-15-2022,2:00am,Medium,5.0%,3.1%
Unemployment Rate,CNY,08-15-2022,2:00am,Low,5.5%,5.5%
Revised Industrial Production m/m,JPY,08-15-2022,4:30am,Low,-7.5%,-7.5%
German WPI m/m,EUR,08-15-2022,6:00am,Low,0.2%,0.1%
PPI m/m,CHF,08-15-2022,6:30am,Low,0.4%,0.3%
French Bank Holiday,EUR,08-15-2022,7:01am,Holiday,,
Italian Bank Holiday,EUR,08-15-2022,7:03am,Holiday,,
Empire State Manufacturing Index,USD,08-15-2022,12:30pm,Medium,5.1,11.1
Manufacturing Sales m/m,CAD,08-15-2022,12:30pm,Low,,-2.0%
Wholesale Sales m/m,CAD,08-15-2022,12:30pm,Low,,1.6%
NAHB Housing Market Index,USD,08-15-2022,2:00pm,Low,55,55
TIC Long-Term Purchases,USD,08-15-2022,8:00pm,Low,,155.3B
Monetary Policy Meeting Minutes,AUD,08-16-2022,1:30am,High,,
Tertiary Industry Activity m/m,JPY,08-16-2022,4:30am,Low,0.5%,0.8%
Average Earnings Index 3m/y,GBP,08-16-2022,6:00am,Low,4.7%,6.2%
Unemployment Rate,GBP,08-16-2022,6:00am,Low,3.8%,3.8%
Claimant Count Change,GBP,08-16-2022,6:00am,Low,-32.0K,-20.0K
ZEW Economic Sentiment,EUR,08-16-2022,9:00am,Low,-57.0,-51.1
German ZEW Economic Sentiment,EUR,08-16-2022,9:00am,Low,-59.9,-53.8
Trade Balance,EUR,08-16-2022,9:00am,Low,-20.0B,-26.0B
Housing Starts,CAD,08-16-2022,12:15pm,Low,265K,274K
CPI m/m,CAD,08-16-2022,12:30pm,High,,0.7%
Common CPI y/y,CAD,08-16-2022,12:30pm,Medium,,4.6%
Core CPI m/m,CAD,08-16-2022,12:30pm,Low,,0.3%
Trimmed CPI y/y,CAD,08-16-2022,12:30pm,Medium,,5.5%
Median CPI y/y,CAD,08-16-2022,12:30pm,Medium,,4.9%
Building Permits,USD,08-16-2022,12:30pm,Low,1.65M,1.69M
Housing Starts,USD,08-16-2022,12:30pm,Low,1.35M,1.56M
Foreign Securities Purchases,CAD,08-16-2022,12:30pm,Low,,2.35B
Capacity Utilization Rate,USD,08-16-2022,1:15pm,Low,80.2%,80.0%
Industrial Production m/m,USD,08-16-2022,1:15pm,Low,0.3%,-0.2%
Mortgage Delinquencies,USD,08-16-2022,2:00pm,Low,,4.11%
GDT Price Index,NZD,08-16-2022,2:33pm,Low,,-5.0%
PPI Input q/q,NZD,08-16-2022,10:45pm,Low,,3.6%
PPI Output q/q,NZD,08-16-2022,10:45pm,Low,,2.6%
Core Machinery Orders m/m,JPY,08-16-2022,11:50pm,Low,1.4%,-5.6%
Trade Balance,JPY,08-16-2022,11:50pm,Low,-1.94T,-1.93T
MI Leading Index m/m,AUD,08-17-2022,12:30am,Low,,-0.2%
Wage Price Index q/q,AUD,08-17-2022,1:30am,High,0.8%,0.7%
Official Cash Rate,NZD,08-17-2022,2:00am,High,3.00%,2.50%
RBNZ Rate Statement,NZD,08-17-2022,2:00am,High,,
RBNZ Monetary Policy Statement,NZD,08-17-2022,2:00am,High,,
RBNZ Press Conference,NZD,08-17-2022,3:00am,High,,
